,holiday,ds,lower_window,upper_window
16,gen_holi,2011-01-17,-2,2
51,gen_holi,2011-02-21,-2,2
104,gen_holi,2011-04-15,-2,2
149,gen_holi,2011-05-30,-2,2
184,gen_holi,2011-07-04,-2,2
247,gen_holi,2011-09-05,-2,2
282,gen_holi,2011-10-10,-2,2
314,gen_holi,2011-11-11,-2,2
327,gen_holi,2011-11-24,-2,2
359,gen_holi,2011-12-26,-2,2
366,gen_holi,2012-01-02,-2,2
380,gen_holi,2012-01-16,-2,2
415,gen_holi,2012-02-20,-2,2
471,gen_holi,2012-04-16,-2,2
513,gen_holi,2012-05-28,-2,2
550,gen_holi,2012-07-04,-2,2
611,gen_holi,2012-09-03,-2,2
646,gen_holi,2012-10-08,-2,2
681,gen_holi,2012-11-12,-2,2
691,gen_holi,2012-11-22,-2,2
0,christmas,2011-12-24 00:00:00,-3,3
1,christmas,2012-12-24 00:00:00,-3,3
0,new_years,2011-12-31 00:00:00,-3,3
1,new_years,2012-12-31 00:00:00,-3,3
